date;symbol;open;high;low;close
08/10/2021 00:00;BTC/USD;5381616;5616800;5362302;5395721
07/10/2021 00:00;BTC/USD;5536010;5536032;5328957;5378760
06/10/2021 00:00;BTC/USD;5152189;5580000;5042864;5534579
05/10/2021 00:00;BTC/USD;4928389;5191468;4907500;5150119
04/10/2021 00:00;BTC/USD;4823104;4953053;4690000;4924214
03/10/2021 00:00;BTC/USD;4764463;4922555;4711987;4823593
02/10/2021 00:00;BTC/USD;4818561;4836183;4746815;4768580
01/10/2021 00:00;BTC/USD;4383547;4850000;4329107;4817186
30/09/2021 00:00;BTC/USD;4153756;4411774;4142787;4383443
29/09/2021 00:00;BTC/USD;4102421;4259593;4075000;4154290
28/09/2021 00:00;BTC/USD;4215487;4277893;4088800;4104900
27/09/2021 00:00;BTC/USD;4316282;4437770;4213000;4218981
26/09/2021 00:00;BTC/USD;4269910;4395638;4080800;4320473
25/09/2021 00:00;BTC/USD;4283588;4301069;4168960;4272219
24/09/2021 00:00;BTC/USD;4489370;4515990;4069327;4284850
23/09/2021 00:00;BTC/USD;4358600;4501317;4310500;4490350
22/09/2021 00:00;BTC/USD;4070207;4403185;4058018;4358953
21/09/2021 00:00;BTC/USD;4300307;4364334;3957321;4059654
20/09/2021 00:00;BTC/USD;4725786;4733454;4245397;4303599
19/09/2021 00:00;BTC/USD;4830705;4838952;4686000;4724525
18/09/2021 00:00;BTC/USD;4731621;4883400;4705290;4832674
17/09/2021 00:00;BTC/USD;4777344;4817900;4671214;4730518
16/09/2021 00:00;BTC/USD;4818812;4850500;4703500;4776064
15/09/2021 00:00;BTC/USD;4712381;4846577;4670226;4815094
14/09/2021 00:00;BTC/USD;4498377;4727338;4470418;4710318
13/09/2021 00:00;BTC/USD;4603942;4689582;4340000;4497434
12/09/2021 00:00;BTC/USD;4516296;4649163;4475296;4603500
11/09/2021 00:00;BTC/USD;4485820;4599332;4476775;4517666
10/09/2021 00:00;BTC/USD;4636811;4702908;4412500;4485738
09/09/2021 00:00;BTC/USD;4607043;4741995;4555000;4639281
